[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:09] CPU TRAINING STARTED
[2026-09-17 18:13:09] Python executable: E:\MMdetection\.venv\Scripts\python.exe
[2026-09-17 18:13:09] Config file: E:\MMDetection_2\configs\packdet_rtmdet_ins.py
[2026-09-17 18:13:09] Work directory: E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] Training command: E:\MMdetection\.venv\Scripts\python.exe E:\MMDetection_2\mmdetection\tools\train.py E:\MMDetection_2\configs\packdet_rtmdet_ins.py --work-dir E:\MMDetection_2\work_dirs\packdet_rtmdet_ins_cpu
[2026-09-17 18:13:09] ================================================================================
[2026-09-17 18:13:11] Elapsed: 0.03 min | System CPU: 11.3% | System RAM: 71.0% (11.18/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 169.64 MB
[2026-09-17 18:13:13] Elapsed: 0.07 min | System CPU: 5.8% | System RAM: 71.2% (11.20/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 245.80 MB
[2026-09-17 18:13:15] Elapsed: 0.10 min | System CPU: 10.0% | System RAM: 71.8% (11.30/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 339.04 MB
[2026-09-17 18:13:17] Elapsed: 0.13 min | System CPU: 33.8% | System RAM: 76.5% (12.04/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1026.36 MB
[2026-09-17 18:13:19] Elapsed: 0.17 min | System CPU: 63.1% | System RAM: 78.4% (12.34/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1227.01 MB
[2026-09-17 18:13:21] Elapsed: 0.20 min | System CPU: 60.1% | System RAM: 79.3% (12.47/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1270.31 MB
[2026-09-17 18:13:23] Elapsed: 0.23 min | System CPU: 54.6% | System RAM: 79.6% (12.53/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1296.48 MB
[2026-09-17 18:13:25] Elapsed: 0.27 min | System CPU: 54.4% | System RAM: 79.6% (12.53/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1309.65 MB
[2026-09-17 18:13:27] Elapsed: 0.30 min | System CPU: 51.5% | System RAM: 79.8% (12.55/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1324.14 MB
[2026-09-17 18:13:29] Elapsed: 0.33 min | System CPU: 50.6% | System RAM: 80.2% (12.61/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1396.00 MB
[2026-09-17 18:13:31] Elapsed: 0.37 min | System CPU: 51.3% | System RAM: 79.8% (12.56/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1335.43 MB
[2026-09-17 18:13:33] Elapsed: 0.40 min | System CPU: 55.3% | System RAM: 79.3% (12.48/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1344.68 MB
[2026-09-17 18:13:35] Elapsed: 0.43 min | System CPU: 51.3% | System RAM: 77.8% (12.24/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1353.18 MB
[2026-09-17 18:13:37] Elapsed: 0.47 min | System CPU: 50.6% | System RAM: 77.9% (12.25/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1358.18 MB
[2026-09-17 18:13:39] Elapsed: 0.50 min | System CPU: 50.6% | System RAM: 77.8% (12.24/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1358.53 MB
[2026-09-17 18:13:41] Elapsed: 0.53 min | System CPU: 50.9% | System RAM: 77.9% (12.25/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1370.73 MB
[2026-09-17 18:13:43] Elapsed: 0.57 min | System CPU: 50.9% | System RAM: 77.9% (12.25/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1373.53 MB
[2026-09-17 18:13:45] Elapsed: 0.60 min | System CPU: 50.2% | System RAM: 77.9% (12.26/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1374.86 MB
[2026-09-17 18:13:47] Elapsed: 0.63 min | System CPU: 51.7% | System RAM: 78.0% (12.27/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1376.29 MB
[2026-09-17 18:13:49] Elapsed: 0.67 min | System CPU: 58.3% | System RAM: 78.1% (12.29/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1381.39 MB
[2026-09-17 18:13:51] Elapsed: 0.70 min | System CPU: 56.3% | System RAM: 78.4% (12.33/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1387.68 MB
[2026-09-17 18:13:53] Elapsed: 0.73 min | System CPU: 58.5% | System RAM: 78.6% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1391.60 MB
[2026-09-17 18:13:55] Elapsed: 0.77 min | System CPU: 57.5% | System RAM: 78.6% (12.37/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1400.36 MB
[2026-09-17 18:13:57] Elapsed: 0.80 min | System CPU: 53.6% | System RAM: 78.5% (12.36/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1400.29 MB
[2026-09-17 18:13:59] Elapsed: 0.83 min | System CPU: 53.7% | System RAM: 79.5% (12.50/15.73 GB) | Training Process CPU: 0.0% | Training Process RAM: 1564.16 MB
